rgn_id,habitat,year,trend
1,seaice_edge,2010,-0.0580344263871555
1,seaice_shoreline,2010,0.0378902316213496
1,seaice_edge,2011,-0.16210583544765
1,seaice_shoreline,2011,-0.0267025967662981
1,seaice_edge,2012,-0.159260928346104
1,seaice_shoreline,2012,-0.0251625331085964
1,seaice_edge,2013,-0.108169226420429
1,seaice_shoreline,2013,-0.001339829476248
1,seaice_edge,2014,-0.084141101229132
1,seaice_shoreline,2014,-0.0205546095840423
1,seaice_edge,2015,-0.0731283832090705
1,seaice_shoreline,2015,-0.0841261892839285
1,seaice_edge,2016,-0.0824006571516675
1,seaice_shoreline,2016,-0.191885964912311
2,seaice_edge,2010,-0.0580344263871555
2,seaice_shoreline,2010,0.0378902316213496
2,seaice_edge,2011,-0.16210583544765
2,seaice_shoreline,2011,-0.0267025967662981
2,seaice_edge,2012,-0.159260928346104
2,seaice_shoreline,2012,-0.0251625331085964
2,seaice_edge,2013,-0.108169226420429
2,seaice_shoreline,2013,-0.001339829476248
2,seaice_edge,2014,-0.084141101229132
2,seaice_shoreline,2014,-0.0205546095840423
2,seaice_edge,2015,-0.0731283832090705
2,seaice_shoreline,2015,-0.0841261892839285
2,seaice_edge,2016,-0.0824006571516675
2,seaice_shoreline,2016,-0.191885964912311
3,seaice_edge,2010,-0.0580344263871555
3,seaice_shoreline,2010,0.0378902316213496
3,seaice_edge,2011,-0.16210583544765
3,seaice_shoreline,2011,-0.0267025967662981
3,seaice_edge,2012,-0.159260928346104
3,seaice_shoreline,2012,-0.0251625331085964
3,seaice_edge,2013,-0.108169226420429
3,seaice_shoreline,2013,-0.001339829476248
3,seaice_edge,2014,-0.084141101229132
3,seaice_shoreline,2014,-0.0205546095840423
3,seaice_edge,2015,-0.0731283832090705
3,seaice_shoreline,2015,-0.0841261892839285
3,seaice_edge,2016,-0.0824006571516675
3,seaice_shoreline,2016,-0.191885964912311
4,seaice_edge,2010,-0.0580344263871555
4,seaice_shoreline,2010,0.0378902316213496
4,seaice_edge,2011,-0.16210583544765
4,seaice_shoreline,2011,-0.0267025967662981
4,seaice_edge,2012,-0.159260928346104
4,seaice_shoreline,2012,-0.0251625331085964
4,seaice_edge,2013,-0.108169226420429
4,seaice_shoreline,2013,-0.001339829476248
4,seaice_edge,2014,-0.084141101229132
4,seaice_shoreline,2014,-0.0205546095840423
4,seaice_edge,2015,-0.0731283832090705
4,seaice_shoreline,2015,-0.0841261892839285
4,seaice_edge,2016,-0.0824006571516675
4,seaice_shoreline,2016,-0.191885964912311
5,seaice_edge,2010,-0.0580344263871555
5,seaice_shoreline,2010,0.0378902316213496
5,seaice_edge,2011,-0.16210583544765
5,seaice_shoreline,2011,-0.0267025967662981
5,seaice_edge,2012,-0.159260928346104
5,seaice_shoreline,2012,-0.0251625331085964
5,seaice_edge,2013,-0.108169226420429
5,seaice_shoreline,2013,-0.001339829476248
5,seaice_edge,2014,-0.084141101229132
5,seaice_shoreline,2014,-0.0205546095840423
5,seaice_edge,2015,-0.0731283832090705
5,seaice_shoreline,2015,-0.0841261892839285
5,seaice_edge,2016,-0.0824006571516675
5,seaice_shoreline,2016,-0.191885964912311
6,seaice_edge,2010,-0.0580344263871555
6,seaice_shoreline,2010,0.0378902316213496
6,seaice_edge,2011,-0.16210583544765
6,seaice_shoreline,2011,-0.0267025967662981
6,seaice_edge,2012,-0.159260928346104
6,seaice_shoreline,2012,-0.0251625331085964
6,seaice_edge,2013,-0.108169226420429
6,seaice_shoreline,2013,-0.001339829476248
6,seaice_edge,2014,-0.084141101229132
6,seaice_shoreline,2014,-0.0205546095840423
6,seaice_edge,2015,-0.0731283832090705
