rgn_id,habitat,year,km2
1,mangrove,2015,1447.704175
1,mangrove_inland1km,2015,648.780965
1,mangrove_offshore,2015,125.096159
2,mangrove,2015,1447.704175
2,mangrove_inland1km,2015,648.780965
2,mangrove_offshore,2015,125.096159
3,mangrove,2015,1447.704175
3,mangrove_inland1km,2015,648.780965
3,mangrove_offshore,2015,125.096159
4,mangrove,2015,1447.704175
4,mangrove_inland1km,2015,648.780965
4,mangrove_offshore,2015,125.096159
5,mangrove,2015,1447.704175
5,mangrove_inland1km,2015,648.780965
5,mangrove_offshore,2015,125.096159
6,mangrove,2015,1447.704175
6,mangrove_inland1km,2015,648.780965
6,mangrove_offshore,2015,125.096159
7,mangrove,2015,1447.704175
7,mangrove_inland1km,2015,648.780965
7,mangrove_offshore,2015,125.096159
8,mangrove,2015,1447.704175
8,mangrove_inland1km,2015,648.780965
8,mangrove_offshore,2015,125.096159
9,mangrove,2015,1447.704175
9,mangrove_inland1km,2015,648.780965
9,mangrove_offshore,2015,125.096159
