rgn_id,habitat,health
1,coral,0.422873323253544
1,mangrove,0.709090909090909
1,saltmarsh,0.5
1,seagrass,1.0
1,seaice_edge,0.913039603607457
1,seaice_shoreline,0.874038512828719
1,soft_bottom,0.972712814537066
2,coral,0.422873323253544
2,mangrove,0.709090909090909
2,saltmarsh,0.5
2,seagrass,1.0
2,seaice_edge,0.913039603607457
2,seaice_shoreline,0.874038512828719
2,soft_bottom,0.972712814537066
3,coral,0.422873323253544
3,mangrove,0.709090909090909
3,saltmarsh,0.5
3,seagrass,1.0
3,seaice_edge,0.913039603607457
3,seaice_shoreline,0.874038512828719
3,soft_bottom,0.972712814537066
4,coral,0.422873323253544
4,mangrove,0.709090909090909
4,saltmarsh,0.5
4,seagrass,1.0
4,seaice_edge,0.913039603607457
4,seaice_shoreline,0.874038512828719
4,soft_bottom,0.972712814537066
5,coral,0.422873323253544
5,mangrove,0.709090909090909
5,saltmarsh,0.5
5,seagrass,1.0
5,seaice_edge,0.913039603607457
5,seaice_shoreline,0.874038512828719
5,soft_bottom,0.972712814537066
6,coral,0.422873323253544
6,mangrove,0.709090909090909
6,saltmarsh,0.5
6,seagrass,1.0
6,seaice_edge,0.913039603607457
6,seaice_shoreline,0.874038512828719
6,soft_bottom,0.972712814537066
7,coral,0.422873323253544
7,mangrove,0.709090909090909
7,saltmarsh,0.5
7,seagrass,1.0
7,seaice_edge,0.913039603607457
7,seaice_shoreline,0.874038512828719
7,soft_bottom,0.972712814537066
8,coral,0.422873323253544
8,mangrove,0.709090909090909
8,saltmarsh,0.5
8,seagrass,1.0
8,seaice_edge,0.913039603607457
8,seaice_shoreline,0.874038512828719
8,soft_bottom,0.972712814537066
9,coral,0.422873323253544
9,mangrove,0.709090909090909
9,saltmarsh,0.5
9,seagrass,1.0
9,seaice_edge,0.913039603607457
9,seaice_shoreline,0.874038512828719
9,soft_bottom,0.972712814537066
